player_name,enemy_team,own_goal,penalty,goals_scored,goals_conceded,goal_success
A'ala Hubail,Indonesia,0,0,1,181,1
A'ala Hubail,Japan,0,0,3,183,1
A'ala Hubail,Kyrgyzstan,0,0,3,70,1
A'ala Hubail,Malaysia,0,1,1,136,1
A'ala Hubail,Oman,0,0,1,104,1
A'ala Hubail,Syria,0,0,2,118,1
A'ala Hubail,Uzbekistan,0,0,2,152,1
A. Elangovan,Macau,0,0,1,164,1
Aaran Lines,Solomon Islands,0,0,1,166,1
Aaran Lines,Tahiti,0,0,1,150,1
Aaran Lines,Vanuatu,0,0,1,126,1
Aaron Boupendza,Comoros,0,0,1,27,1
Aaron Hughes,Faroe Islands,0,0,1,455,1
Aaron Long,Trinidad and Tobago,0,0,2,208,1
Aaron Mooy,Bangladesh,0,0,1,158,1
Aaron Mooy,Jordan,0,0,1,112,1
Aaron Mooy,Kuwait,0,0,1,121,1
Aaron Mooy,Oman,0,0,1,104,1
Aaron Njovu,Cameroon,0,0,1,196,1
Aaron Njovu,Nigeria,0,0,1,152,1
Aaron Ramsey,Andorra,0,0,1,396,1
Aaron Ramsey,Belarus,0,1,2,252,1
Aaron Ramsey,Belgium,0,0,1,274,1
Aaron Ramsey,Czech Republic,0,0,1,200,1
Aaron Ramsey,Hungary,0,0,2,315,1
Aaron Ramsey,Israel,0,0,1,259,1
Aaron Ramsey,Latvia,0,1,1,320,1
Aaron Ramsey,Liechtenstein,0,0,1,466,1
Aaron Ramsey,Moldova,0,0,1,314,1
Aaron Ramsey,Montenegro,0,0,1,121,1
Aaron Ramsey,North Macedonia,0,1,1,258,1
Aaron Ramsey,Republic of Ireland,0,0,1,234,1
Aaron Ramsey,Russia,0,0,1,211,1
Aaron Ramsey,Scotland,0,1,1,253,1
Aaron Ramsey,Serbia,0,1,1,188,1
Aaron Ramsey,Switzerland,0,1,1,257,1
Aaron Ramsey,Turkey,0,0,1,335,1
Aaron Tumwa,Saint Lucia,0,0,1,62,1
Aarón Suárez,Panama,0,0,1,214,1
Aatef Jenyat,Afghanistan,0,0,1,58,1
Abat Aymbetov,Azerbaijan,0,0,2,308,1
Abat Aymbetov,Belarus,0,0,2,252,1
Abat Aymbetov,Denmark,0,0,1,247,1
Abat Aymbetov,Lithuania,0,0,1,313,1
Abat Aymbetov,Northern Ireland,0,0,1,279,1
Abat Aymbetov,San Marino,0,1,1,734,1
Abay Bokoleyev,Myanmar,0,0,1,71,1
Abbas Ahmed Atwi,Myanmar,0,0,1,71,1
Abbas Ahmed Atwi,South Korea,0,1,1,188,1
Abbas Chahrour,Iraq,0,0,1,157,1
Abbas Hassan Hassun,Macau,0,0,2,164,1
Abbas Obeid,Japan,0,0,1,183,1
Abbas Souan,Republic of Ireland,0,0,1,234,1
Abbosbek Fayzullaev,India,0,0,1,124,1
Abbosbek Fayzullaev,Thailand,0,0,1,183,1
Abdah Alif,United Arab Emirates,0,0,1,200,1
Abdallah Deeb,Australia,0,0,1,167,1
Abdallah Deeb,Bangladesh,0,1,3,158,1
Abdallah Deeb,Iraq,0,0,1,157,1
Abdallah Deeb,Nepal,0,0,1,120,1
Abdallah Deeb,Singapore,0,0,1,132,1
Abdallah El Said,Chad,0,0,1,26,1
Abdallah El Said,Congo,0,0,1,92,1
Abdallah El Said,Ghana,0,0,1,147,1
Abdallah El Said,Uganda,0,0,1,62,1
Abdel Halim Ali,Burkina Faso,0,0,1,138,1
Abdel Halim Ali,Sudan,0,0,3,110,1
Abdel Rasoul Hesham,Kenya,0,0,1,118,1
Abdel Rasoul Hesham,Malawi,0,0,2,103,1
Abdel Razak Al-Farjani,Morocco,0,0,1,122,1
Abdel Razak Jaranah,Ghana,0,0,1,147,1
Abdel Sattar Sabry,Algeria,0,0,1,189,1
Abdel Sattar Sabry,Bolivia,0,0,1,365,1
Abdel Sattar Sabry,Liberia,0,0,1,106,1
Abdel Sattar Sabry,Namibia,0,0,1,124,1
Abdel-Hadi Al-Maharmeh,Laos,0,0,1,124,1
Abdel-Zaher El-Saqqa,Algeria,0,0,1,189,1
Abdelatif Bahdari,Timor-Leste,0,0,1,61,1
Abdelaziz Barrada,Gambia,0,0,1,48,1
Abdelaziz Daidi,Egypt,0,0,1,152,1
Abdelfattah El Khattari,Gambia,0,0,2,48,1
Abdelfettah Rhiati,Ivory Coast,0,0,1,163,1
Abdelfettah Rhiati,Zambia,0,0,1,136,1
Abdelhafid Tasfaout,Burundi,0,0,2,28,1
Abdelhafid Tasfaout,Cameroon,0,0,1,196,1
Abdelhafid Tasfaout,Egypt,0,0,1,152,1
Abdelhafid Tasfaout,Gabon,0,0,1,97,1
Abdelhafid Tasfaout,Ivory Coast,0,0,1,163,1
Abdelhafid Tasfaout,Kenya,0,0,1,118,1
Abdelhafid Tasfaout,Morocco,0,0,1,122,1
Abdelhafid Tasfaout,Nigeria,0,0,2,152,1
Abdelilah Hafidi,South Africa,0,0,1,126,1
Abdeljalil Hadda,Algeria,0,0,2,189,1
Abdeljalil Hadda,Namibia,0,0,2,124,1
Abdeljalil Hadda,Norway,0,0,1,231,1
Abdeljalil Hadda,Scotland,0,0,1,253,1
Abdelkabir Mezyane,Benin,0,0,1,106,1
Abdelkader Ben Hassen,Ivory Coast,0,0,1,163,1
Abdelkader Ferhaoui,DR Congo,0,0,1,152,1
Abdelkader Ghezzal,Egypt,0,0,1,152,1
Abdelkader Ghezzal,Rwanda,0,0,1,66,1
Abdelkader Rakbaoui,Algeria,0,0,1,189,1
Abdelkader Rakbaoui,Benin,0,0,1,106,1
Abdelkarim Hassan,Afghanistan,0,0,1,58,1
Abdelkarim Hassan,Hong Kong,0,0,1,112,1
Abdelkarim Hassan,North Korea,0,0,1,124,1
Abdelkrim Merry,Cameroon,0,0,1,196,1
Abdelkrim Merry,DR Congo,0,1,1,152,1
Abdelkrim Merry,Portugal,0,0,1,225,1
Abdelmajid Bouyboud,Senegal,0,0,1,117,1
Abdelmajid Bouyboud,Tunisia,0,0,1,170,1
Abdelmalek Cherrad,Morocco,0,0,1,122,1
Abdelmalek Cherrad,Niger,0,0,2,64,1
Abdelmalek Cherrad,Zimbabwe,0,0,1,110,1
Abdelmoumene Djabou,Germany,0,0,1,275,1
Abdelmoumene Djabou,South Korea,0,0,1,188,1
Abdelrazaq Al Hussain,Afghanistan,0,0,1,58,1
Abdelrazaq Al Hussain,Cambodia,0,0,1,130,1
Abdelrazaq Al Hussain,Saudi Arabia,0,0,2,221,1
Abderrazak Hamdallah,Tanzania,0,1,1,79,1
Abderrazak Khairi,Portugal,0,0,2,225,1
Abdesalam Kames,Ivory Coast,0,0,1,163,1
Abdeslam Laghrissi,Zambia,0,0,1,136,1
Abdeslam Ouaddou,Benin,0,0,1,106,1
Abdeslam Ouaddou,Guinea,0,0,1,149,1
Abdessalam Benjelloun,Mauritania,0,0,1,54,1
Abdi Idleh Hamza,Eswatini,0,0,1,41,1
Abdiel Arroyo,Chile,0,0,1,291,1
Abdiel Arroyo,Guyana,0,0,1,71,1
Abdiel Arroyo,Jamaica,0,0,1,204,1
Abdiel Arroyo,Martinique,0,0,1,57,1
Abdiel Arroyo,Trinidad and Tobago,0,0,1,208,1
Abdoh Otaif,United Arab Emirates,0,1,2,200,1
Abdoh Otaif,Uzbekistan,0,0,1,152,1
Abdolreza Barzegari,Bangladesh,0,0,2,158,1
Abdou Bin Amidou,DR Congo,0,0,1,152,1
Abdou Diallo,Burkina Faso,0,0,1,138,1
Abdou Diallo,Togo,0,0,1,121,1
Abdou Jammeh,Morocco,0,0,1,122,1
Abdou Jammeh,Namibia,0,0,1,124,1
Abdou Karim Sèye,Angola,0,0,1,110,1
Abdou Traoré,Rwanda,0,0,1,66,1
Abdou-Rahman Njie,Liberia,0,0,1,106,1
Abdoul Camara,Botswana,0,0,1,62,1
Abdoul Camara,Egypt,0,1,1,152,1
Abdoul Camara,Ghana,0,0,1,147,1
Abdoul Tapsoba,Algeria,0,0,1,189,1
Abdoul Tapsoba,Djibouti,0,0,3,85,1
Abdoul-Aziz Nikiema,Uganda,0,0,1,62,1
Abdoulai Demba,Congo,0,0,1,92,1
Abdoulay Diaby,Mauritania,0,0,1,54,1
Abdoulaye Cissé,South Africa,0,0,2,126,1
Abdoulaye Emmerson,Tunisia,0,0,2,170,1
Abdoulaye Faye,Algeria,0,0,1,189,1
Abdoulaye Faye,Angola,0,0,1,110,1
Abdoulaye Faye,Liberia,0,0,1,106,1
Abdoulaye M'Baye,Zambia,0,0,1,136,1
Abdoulaye Seck,Guinea,0,0,1,149,1
Abdoulaye Traoré,Algeria,0,0,1,189,1
Abdoulaye Traoré,Botswana,0,1,3,62,1
Abdoulaye Traoré,DR Congo,0,0,1,152,1
Abdoulaye Traoré,Egypt,0,0,2,152,1
Abdoulaye Traoré,Gambia,0,0,3,48,1
Abdoulaye Traoré,Ghana,0,0,1,147,1
Abdoulaye Traoré,Mozambique,0,0,2,89,1
Abdoulaye Traoré,Niger,0,0,1,64,1
