date,home_team,away_team,team,scorer,own_goal,penalty
1980-02-06,England,Republic of Ireland,England,Kevin Keegan,False,False
1980-02-06,England,Republic of Ireland,England,Kevin Keegan,False,False
1980-02-24,Vanuatu,Papua New Guinea,Vanuatu,,False,False
1980-02-24,Vanuatu,Papua New Guinea,Vanuatu,,False,False
1980-02-24,Vanuatu,Papua New Guinea,Papua New Guinea,,False,False
1980-02-24,Vanuatu,Papua New Guinea,Papua New Guinea,,False,False
1980-02-24,Vanuatu,Papua New Guinea,Papua New Guinea,,False,False
1980-02-24,Vanuatu,Papua New Guinea,Papua New Guinea,,False,False
1980-02-24,New Caledonia,Australia,Australia,Eddie Krncevic,False,False
1980-02-24,Vanuatu,Papua New Guinea,Vanuatu,,False,False
1980-02-24,New Caledonia,Australia,Australia,Eddie Krncevic,False,False
1980-02-24,New Caledonia,Australia,Australia,Paul Kay,False,False
1980-02-24,New Caledonia,Australia,Australia,Paul Kay,False,False
1980-02-24,New Caledonia,Australia,Australia,Ian Hunter,False,False
1980-02-24,New Caledonia,Australia,Australia,Ian Hunter,False,False
1980-02-24,New Caledonia,Australia,Australia,Danny Moulis,False,False
1980-02-24,New Caledonia,Australia,Australia,Eddie Krncevic,False,False
1980-02-25,New Zealand,Tahiti,Tahiti,Erroll Bennett,False,False
1980-02-25,New Zealand,Tahiti,Tahiti,Alfred Wabealo,False,False
1980-02-25,New Zealand,Tahiti,Tahiti,Alfred Wabealo,False,False
1980-02-25,New Zealand,Tahiti,New Zealand,Steve Sumner,False,True
1980-02-25,Fiji,Solomon Islands,Fiji,,False,False
1980-02-25,Fiji,Solomon Islands,Fiji,,False,False
1980-02-25,Fiji,Solomon Islands,Fiji,,False,False
1980-02-25,Fiji,Solomon Islands,Solomon Islands,,False,False
1980-02-26,Australia,Papua New Guinea,Papua New Guinea,Torea,False,False
1980-02-26,New Caledonia,Vanuatu,Vanuatu,,False,False
1980-02-26,New Caledonia,Vanuatu,Vanuatu,,False,False
1980-02-26,New Caledonia,Vanuatu,Vanuatu,,False,False
1980-02-26,New Caledonia,Vanuatu,New Caledonia,,False,False
1980-02-26,New Caledonia,Vanuatu,New Caledonia,,False,False
1980-02-26,New Caledonia,Vanuatu,New Caledonia,,False,False
1980-02-26,New Caledonia,Vanuatu,New Caledonia,,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Peter Sharne,False,False
1980-02-26,Australia,Papua New Guinea,Papua New Guinea,Mouagi,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Peter Sharne,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Peter Sharne,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Peter Sharne,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Eddie Krncevic,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Ian Hunter,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Ian Hunter,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Ian Hunter,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Vic Bozanic,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Arno Bertogna,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Danny Moulis,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Solomon Islands,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-27,Germany,Malta,Germany,Walter Kelsch,False,False
1980-02-27,Germany,Malta,Germany,Klaus Fischer,False,False
1980-02-27,Germany,Malta,Germany,Karl-Heinz Rummenigge,False,False
1980-02-27,Germany,Malta,Germany,John Holland,True,False
1980-02-27,Germany,Malta,Germany,Klaus Allofs,False,False
1980-02-27,Germany,Malta,Germany,Klaus Fischer,False,False
1980-02-27,Germany,Malta,Germany,Rainer Bonhof,False,True
1980-02-27,Germany,Malta,Germany,Klaus Allofs,False,False
1980-02-27,Fiji,New Zealand,Fiji,Meli Vuilabasa,False,False
1980-02-27,Fiji,New Zealand,Fiji,Dewan Chand,False,False
1980-02-27,Fiji,New Zealand,Fiji,Meli Vuilabasa,False,False
1980-02-27,Fiji,New Zealand,Fiji,Dewan Chand,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,Australia,Vanuatu,Australia,Eddie Krncevic,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-28,New Caledonia,Papua New Guinea,New Caledonia,,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Mark Armstrong,False,False
1980-02-29,New Zealand,Solomon Islands,Solomon Islands,E. Karitea,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Mark Armstrong,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Bill de Graaf,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Mark Armstrong,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Michael Groom,False,False
1980-02-29,Fiji,Tahiti,Fiji,,False,False
1980-02-29,New Zealand,Solomon Islands,New Zealand,Bill de Graaf,False,False
1980-02-29,Fiji,Tahiti,Fiji,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Tahiti,,False,False
1980-02-29,Fiji,Tahiti,Fiji,,False,False
1980-03-01,New Caledonia,Fiji,New Caledonia,Jacob Xowie,False,False
1980-03-01,New Caledonia,Fiji,New Caledonia,Jean Xowie,False,False
1980-03-01,New Caledonia,Fiji,Fiji,Mohamed Salim,False,False
1980-03-01,Australia,Tahiti,Tahiti,Erroll Bennett,False,False
1980-03-01,Australia,Tahiti,Tahiti,Andre Wabealo,False,False
1980-03-01,Australia,Tahiti,Australia,Danny Moulis,False,False
1980-03-01,Australia,Tahiti,Australia,Paul Kay,False,False
1980-03-01,Australia,Tahiti,Australia,Paul Kay,False,False
1980-03-01,Australia,Tahiti,Australia,Vic Bozanic,False,False
1980-03-08,Nigeria,Tanzania,Nigeria,Segun Odegbami,False,False
1980-03-08,Nigeria,Tanzania,Tanzania,Juma Mkambi,False,False
1980-03-08,Nigeria,Tanzania,Nigeria,Muda Lawal,False,False
1980-03-08,Nigeria,Tanzania,Nigeria,Ifeanyi Onyedika,False,False
1980-03-08,Egypt,Ivory Coast,Egypt,Maher Hammam,False,False
1980-03-08,Egypt,Ivory Coast,Ivory Coast,Ani Gome,False,False
1980-03-08,Egypt,Ivory Coast,Egypt,Mokhtar Mokhtar,False,False
1980-03-09,Guinea,Morocco,Morocco,Mustapha Tahir,False,False
1980-03-09,Guinea,Morocco,Guinea,Moussa Camara,False,False
1980-03-12,Egypt,Tanzania,Egypt,Hassan Shehata,False,False
1980-03-12,Egypt,Tanzania,Egypt,Mussad Nur,False,False
1980-03-12,Egypt,Tanzania,Tanzania,Thuwein Waziri,False,False
1980-03-13,Algeria,Morocco,Algeria,Lakhdar Belloumi,False,False
1980-03-13,Ghana,Guinea,Ghana,Willie Klutse,False,False
1980-03-15,Ivory Coast,Tanzania,Ivory Coast,Kobenan Kouman,False,False
1980-03-15,Ivory Coast,Tanzania,Tanzania,Thuwein Waziri,False,False
1980-03-15,Nigeria,Egypt,Nigeria,Okey Isima,False,False
1980-03-16,Ghana,Morocco,Morocco,Khalid Labied,False,False
1980-03-16,Algeria,Guinea,Guinea,Seydouba Bangoura,False,False
1980-03-16,Algeria,Guinea,Guinea,Ibrahima Diawara,False,False
1980-03-16,Algeria,Guinea,Algeria,Lakhdar Belloumi,False,False
